Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/gitlab.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/gitlab.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/gitlab.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/gitlabinstances,GET,com.nokia.eda.gitlab.v1alpha1.GitlabInstanceList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/gitlabissues,GET,com.nokia.eda.gitlab.v1alpha1.GitlabIssueList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/gitlabpipelines,GET,com.nokia.eda.gitlab.v1alpha1.GitlabPipelineList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances,DELETE,com.nokia.eda.gitlab.v1alpha1.GitlabInstanceList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances,GET,com.nokia.eda.gitlab.v1alpha1.GitlabInstanceList,gitlab_instance_list,true,true,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances,POST,com.nokia.eda.gitlab.v1alpha1.GitlabInstance,gitlab_instance,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/_deleted,GET,com.nokia.eda.gitlab.v1alpha1.GitlabInstance_DeletedResources,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name},DELETE,Status,gitlab_instance,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name},GET,com.nokia.eda.gitlab.v1alpha1.GitlabInstance,gitlab_instance,true,true,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name},PATCH,Patch,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name},PUT,com.nokia.eda.gitlab.v1alpha1.GitlabInstance,gitlab_instance,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabinstances/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues,DELETE,com.nokia.eda.gitlab.v1alpha1.GitlabIssueList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues,GET,com.nokia.eda.gitlab.v1alpha1.GitlabIssueList,gitlab_issue_list,true,true,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues,POST,com.nokia.eda.gitlab.v1alpha1.GitlabIssue,gitlab_issue,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/_deleted,GET,com.nokia.eda.gitlab.v1alpha1.GitlabIssue_DeletedResources,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name},DELETE,Status,gitlab_issue,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name},GET,com.nokia.eda.gitlab.v1alpha1.GitlabIssue,gitlab_issue,true,true,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name},PATCH,Patch,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name},PUT,com.nokia.eda.gitlab.v1alpha1.GitlabIssue,gitlab_issue,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabissues/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines,DELETE,com.nokia.eda.gitlab.v1alpha1.GitlabPipelineList,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines,GET,com.nokia.eda.gitlab.v1alpha1.GitlabPipelineList,gitlab_pipeline_list,true,true,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines,POST,com.nokia.eda.gitlab.v1alpha1.GitlabPipeline,gitlab_pipeline,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/_deleted,GET,com.nokia.eda.gitlab.v1alpha1.GitlabPipeline_DeletedResources,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name},DELETE,Status,gitlab_pipeline,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name},GET,com.nokia.eda.gitlab.v1alpha1.GitlabPipeline,gitlab_pipeline,true,true,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name},PATCH,Patch,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name},PUT,com.nokia.eda.gitlab.v1alpha1.GitlabPipeline,gitlab_pipeline,true,false,true
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/gitlab.eda.nokia.com/v1alpha1/namespaces/{namespace}/gitlabpipelines/{name}/_topology,GET,ResourceTopology,,false,false,false
